amount,payment_type,country_code,timestamp,delay_seconds
5378.12,2,124,2024-09-09 14:15:29,24
9388.15,1,392,2024-08-11 14:15:29,84
2168.74,1,392,2024-06-10 14:15:29,309
4488.2,2,392,2024-08-29 14:15:29,91
6984.18,1,392,2024-05-11 14:15:29,299
5015.24,2,124,2024-05-11 14:15:29,567
4407.6,2,124,2024-10-27 14:15:29,240
5454.59,1,392,2024-11-29 14:15:29,162
3272.65,2,392,2024-06-23 14:15:29,594
8121.77,2,356,2024-08-13 14:15:29,427
9180.24,1,356,2024-01-15 14:15:29,111
9874.38,2,840,2024-01-06 14:15:29,371
7537.66,2,356,2023-12-31 14:15:29,328
2972.53,2,840,2024-05-31 14:15:29,226
1794.79,2,356,2024-02-19 14:15:29,465
7351.72,1,356,2024-10-05 14:15:29,487
4233.92,2,392,2024-01-13 14:15:29,553
3541.27,2,124,2024-07-06 14:15:29,162
7545.46,1,356,2024-10-02 14:15:29,115
3447.41,2,356,2024-08-04 14:15:29,355
1392.93,1,840,2024-03-07 14:15:29,268
9766.52,1,392,2024-04-21 14:15:29,108
4594.18,1,124,2024-01-14 14:15:29,132
7108.74,2,392,2024-10-16 14:15:29,330
3080.6,2,392,2024-10-14 14:15:29,166
4597.84,2,356,2024-08-21 14:15:29,400
2082.88,1,840,2024-06-05 14:15:29,522
6762.87,2,840,2024-11-05 14:15:29,409
3844.23,2,392,2024-10-29 14:15:29,111
7127.28,1,392,2024-06-06 14:15:29,203
8831.12,1,356,2024-06-06 14:15:29,413
5199.97,1,392,2024-06-18 14:15:29,214
4816.04,2,356,2024-10-31 14:15:29,26
3099.91,1,124,2024-08-06 14:15:29,192
559.28,2,124,2023-12-22 14:15:29,221
8504.44,2,124,2024-08-04 14:15:29,78
5116.96,2,124,2024-01-09 14:15:29,364
7010.33,2,356,2024-10-20 14:15:29,250
7971.87,2,356,2024-05-06 14:15:29,568
7679.29,2,392,2024-04-04 14:15:29,125
2013.5,1,392,2024-10-20 14:15:29,209
1275.07,1,124,2024-02-15 14:15:29,377
7324.14,2,840,2024-01-19 14:15:29,504
8336.04,2,124,2024-02-04 14:15:29,296
4144.8,1,356,2024-04-29 14:15:29,428
7004.42,2,356,2024-05-11 14:15:29,235
8714.76,2,356,2024-03-26 14:15:29,357
4905.8,2,124,2024-11-04 14:15:29,369
8500.08,1,356,2024-08-01 14:15:29,132
4021.89,2,392,2023-12-19 14:15:29,456
1312.61,2,392,2024-05-24 14:15:29,470
4774.51,1,356,2024-08-31 14:15:29,283
